Title,URL,Description,Image URL,Topic
Norah Jones: Tiny Desk Concert,https://www.npr.org/series/1234569831/home-page-tiny-desk-carousel,"The singer-songwriter makes her long-awaited appearance at the Tiny Desk with a collection of light, breezy tracks.",,Politics
"When he was 7, a tiny gesture from his grandmother changed his relationship to God",https://www.npr.org/2024/07/22/nx-s1-5046376/kindness-good-news-religion-god-grandmother-orthodox-jew,"Shalom Auslander grew up in a strict Orthodox Jewish home. When he was 7, his grandmother offered him something small that made him rethink his entire relationship to religion.",,My Unsung Hero
'Liars' is an autopsy of a bitterly disappointing marriage,https://www.npr.org/2024/07/22/nx-s1-5044670/sarah-manguso-liars-book-review-marriage,"In her fierce second novel, Sarah Manguso writes a requiem for a failed relationship from the point of view of a survivor, the wife left behind.",,Book Reviews
Slovenia's Tadej Pogačar outraced his top rivals to win the Tour de France,https://www.npr.org/2024/07/22/nx-s1-5048581/tour-de-france-winner-tadej-pogacar,"Pogačar also won the sport’s other major race, the Giro D’Italia, earlier this year, making him the first man to win both majors in a season since 1998.",,Sports
"'House of the Dragon' Season 2, Episode 6: A blind date goes down in flames",https://www.npr.org/2024/07/19/nx-s1-5044784/house-of-the-dragon-recap-season-2-episode-6,Aegon catches on to Aemond's power plays. Plus: Alicent shows symptoms of maternal instinct.,,'House of the Dragon' recaps
"A former stunt performer walks away (mostly) unscathed from fist fights, flipped cars",https://www.npr.org/2024/07/22/nx-s1-5048108/stuntman-david-leitch-the-fall-guy,"Filmmaker David Leitch says it's easier to do stunts himself than direct his stunt performer friends. ""You are responsible for their safety,"" he explains. ""Your heart goes through your chest.""",,Movie Interviews
Rescuers free an entangled humpback whale south of Los Angeles after a weeklong effort,https://laist.com/news/climate-environment/rescuers-free-an-entangled-humpback-whale-off-dana-point-after-a-weeklong-effort,"The whale had a rope wrapped around both its left and right fluke blades, severely restricting its movement.",,Animals
Mayorkas names a panel to conduct a review of the Trump assassination attempt,https://www.npr.org/2024/07/21/nx-s1-5043491/trump-secret-service-review,The announcement comes in the wake of the assassination attempt on former President Donald Trump last Saturday.,,Law
"Anti-whaling activist arrested in Greenland, could be extradited to Japan",https://www.npr.org/2024/07/22/nx-s1-5048550/anti-whaling-activist-sea-shepherd-arrested-greenland,Canadian-American activist Paul Watson was en route to the North Pacific on a mission to intercept a new Japanese whaling ship when police boarded his vessel.,,Climate
Chinese companies offer to 'resurrect' deceased loved ones with AI avatars,https://www.npr.org/2024/07/18/nx-s1-5040583/china-ai-artificial-intelligence-dead-avatars,Startups are catering to mourners who want a way to communicate with their lost loved ones — or at least digital likeness of them.,,Asia
"6 design tricks to transform your home, according to a feng shui expert",https://www.npr.org/2024/07/19/g-s1-12312/feng-shui-inspired-design-tricks-transform-your-home,"Fall in love with your home again with these feng shui-inspired decorating tips from architect Cliff Tan. They focus on creating an environment that feels happy, harmonious and full of good energy.",,Life Kit
Trench collapses have killed hundreds of workers in the U.S. over the last decade,https://www.npr.org/2024/07/20/g-s1-9028/osha-construction-safety-trench-collapse,"More than 250 people have died since 2013 when trenches they were working in caved in. In most cases, the employers failed to follow basic government regulations for making trenches safe.",,Investigations
Russia sentences American Michael Travis Leake to 13 years on alleged drug charges,https://www.npr.org/2024/07/21/nx-s1-5047809/michael-travis-leake-russia-prison-sentence,The American rock musician and former paratrooper was arrested last year on drug trafficking charges.,,World
